"Area","Sexe","Region Code","Region ISO","Region Name","Number of active people not employed (Unemployed)","Number of active people Occupied","Number of Inactive people","Number of people aged 15 and more in 2014","Unemployment rate of the population in 2014"
"Urban","Male",24,"TN-34","Siliana",2925,19197,12050,34172,13.22
"Urban","Male",31,"TN-51","Sousse",11968,124430,68043,204441,8.77
"Urban","Male",32,"TN-52","Monastir",9487,121908,67461,198856,7.22
"Urban","Male",33,"TN-53","Mahdia",3609,39157,24047,66813,8.44
"Urban","Male",34,"TN-61","Sfax",9992,140930,77796,228718,6.62
"Urban","Male",41,"TN-41","Kairouan",6807,40408,25057,72272,14.42
"Urban","Male",42,"TN-42","Kasserine",8858,34664,25586,69108,20.35
"Urban","Male",43,"TN-43","Sidi Bouzid",4505,22432,15289,42226,16.72
"Urban","Male",51,"TN-81","Gabès",7694,55082,34320,97096,12.26
"Urban","Male",52,"TN-82","Medenine",7787,85659,43193,136639,8.33
"Urban","Male",53,"TN-83","Tataouine",4315,17730,11631,33676,19.57
"Urban","Male",61,"TN-71","Gafsa",12247,47424,34178,93849,20.52
"Urban","Male",62,"TN-72","Tozeur",2021,16409,8846,27276,10.97
"Urban","Male",63,"TN-73","Kébili",2556,18252,10523,31331,12.28
